,Unnamed: 0,Timestamp,PV_profile 2,PV_profile 5,PV_profile 6,PV_profile 3,PV_profile 4,PV_profile 7,PV_profile 1,WD 1,R210 Load,X84_1 MV Load_x,X84_1 MV Load_y,R1,R2,R3,R4,R5,R6
0,24970,2021-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0852887506645793,0.5311130604604789,0.0,0.1621621621621621,0.9997840106947866,0.9943844613651044,0.0128500591347474,0.2701331311281196,0.021085773622524,0.0192735352250256
1,24971,2021-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1165682112440217,0.5258545068343505,0.0,0.1351351351351351,0.9997827950117156,0.994360154750786,0.000104685104545,0.0164959117046322,0.0178612624214805,0.0109810807881207
2,24972,2021-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057996366632649,0.5021910668634809,0.0,0.1621621621621621,0.9998189655110664,0.9943844720470604,0.0013434552206425,0.223103436808836,0.0315601657988093,0.0003586888048862
3,24973,2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242893465117447,0.5170902736115653,0.0,0.1351351351351351,0.9997815989201514,0.994417243174168,0.0005530851398307,0.0621069406150579,0.0183881434215376,0.0302188496950859
4,24974,2021-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076198851567226,0.5039439066618138,0.0,0.1621621621621621,0.999783388136572,0.9943615656877928,0.0007380269569565,0.0532840266429815,0.0002529027363828,0.0002135706044011
5,24975,2021-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287203314306837,0.5056967464601423,0.0,0.1351351351351351,0.999800463075598,0.994360154750786,0.0029835169035869,0.2511425059242743,0.0003188776034748,0.0142832083182352
6,24976,2021-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1221132735269181,0.4899211198128958,0.0,0.1621621621621621,0.999801223855383,0.994431534252873,0.0142603962832032,0.0293888436923852,0.0003414798945066,0.0165516415218877
7,24977,2021-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1969120279439956,0.4846625661867675,0.0,0.1351351351351351,0.9998353832051852,0.9943692949061328,0.0144290555548739,0.2460902135274722,0.0136918783857267,0.0004312482281282
8,24978,2021-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1816151817708031,0.4732690732664874,0.0,0.1621621621621621,0.9997830602262192,0.9943610408073452,0.0137137086743592,0.0125731032093456,0.0221711482229936,0.0301015228566301
9,24979,2021-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091110722642359,0.4636283859133928,0.0,0.1621621621621621,0.9998119587234212,0.9943927188383704,0.0088051546687963,0.1433233228753669,0.0236436046674132,0.0003641651177858
10,24980,2021-01-01 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188897987649933,0.4688869395395211,0.0,0.1351351351351351,0.99980350732925,0.9944012159718284,0.0012213235517442,0.1468136159015996,0.0196765427931494,0.0072299072282764
11,24981,2021-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2041086798329031,0.4601227063167358,0.0,0.1621621621621621,0.99978370047988,0.9943608568448108,0.0001657515107555,0.0173005903344189,0.0171236291871283,0.0235214996842387
12,24982,2021-01-01 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2180814867412817,0.4539877327914411,0.0,0.1351351351351351,0.9998036914691724,0.9943700695723324,0.0012474933983878,0.2563215767393679,0.0100845003080604,0.0002916056945439
13,24983,2021-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003022797400931,0.4355828122155613,0.0,0.1621621621621621,0.9997999972554336,0.9944309435555788,0.0001221316690932,0.0179229589962664,0.0192148814273035,0.0235030175588723
14,24984,2021-01-01 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2588930945785996,0.4268185789927743,0.0,0.1351351351351351,0.9998863558911332,0.9943608635965996,0.0077466760106427,0.1833661430200735,0.0084990538169032,0.0075365725679608
15,24985,2021-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131993829105605,0.4285714187911036,0.0,0.1621621621621621,0.9998126500517182,0.9943605977780038,0.0127348018100714,0.1089087468975734,0.0002318276234552,0.000788567739456
16,24986,2021-01-01 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4769019618408853,0.4241892850641391,0.0,0.1351351351351351,0.9998904136589668,0.9944212917373776,0.0141542075587053,0.0873767836571719,0.0003477415042385,0.0304353296014842
17,24987,2021-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4527240997554829,0.4347063923163966,0.0,0.1621621621621621,0.999859161161666,0.994381928087948,0.0140916889873211,0.2117993555835358,0.003076984443682,0.0004271407781236
18,24988,2021-01-01 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832866972786508,0.4347063923163966,0.0,0.1351351351351351,0.9998251798784868,0.9943610424913994,0.0043850804586583,0.0210516414662206,0.0382304780607208,0.0159383795333043
19,24989,2021-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3223690926440897,0.4250657391944449,0.0,0.1621621621621621,0.9998914295764572,0.9943808555424196,0.0008176650699328,0.2649592985056097,0.0386941331695005,0.0146432664166799
